id,Geographic Area Name,Total Population,Female Total Population,Female Percentage,Male Percentage,Married percentage,50% below the poverty level,Poverty level percentage,High school graduate (includes equivalency) (18-24),Some college or associate's degree (18-24),Bachelor's degree or higher (18-24),High school graduate (includes equivalency) (>25),Some college or Associate's degree (>25),Bachelor's degree (>25),Graduate or professional degree (>25),High school graduate or higher (>25),Bachelor's degree or higher (>25),Total High school degree,Total Some college or associate's degree,Total Bachelor's degree,High school degree percentage,Some college or associate's degree percentage,Bachelor's degree percentage,Hispanic or Latino,Not Hispanic nor Latino,Hispanic or Latino population percentage,Not Hispanic nor Lation population percentage,White, Black or African American,American Indian and Alaska Native alone,Asian,Native Hawaiian and Other Pacific Islander alone, Some Other Race alone,
0500000US36017,"Chenango County, New York",47527,23704,49.88%,50.13%,50.2,2580,5.43%,1514,1124,263,13734,3741,3572,2903,30196,6475,15248,4865,3835,32.08%,10.24%,8%,1117,46103,2.35%,97.65%,43153,345,93,236,15,109,
0500000US36019,"Clinton County, New York",80320,39040,48.61%,51.39%,45.8,4199,5.23%,3233,5424,1114,20050,6072,7447,6036,48608,13483,23283,11496,8561,28.99%,14.31%,11%,2856,76987,3.56%,96.44%,69251,2753,238,957,24,270,
0500000US36021,"Columbia County, New York",60016,30063,50.09%,49.91%,50.8,2694,4.49%,1675,1152,679,13377,5787,8035,7355,41557,15390,15052,6939,8714,25.08%,11.56%,15%,3542,58028,5.90%,94.10%,50795,2421,70,1423,16,348,
0500000US36023,"Cortland County, New York",47618,24203,50.83%,49.17%,43.2,2496,5.24%,2192,5284,715,9339,3991,4411,3648,27165,8059,11531,9275,5126,24.22%,19.48%,11%,1658,45151,3.48%,96.52%,40801,829,113,1018,6,204,
0500000US36025,"Delaware County, New York",44676,22123,49.52%,50.48%,48.4,3196,7.15%,2075,1840,196,12881,3782,3890,3371,29376,7261,14956,5622,4086,33.48%,12.58%,9%,1985,42323,4.44%,95.56%,38821,1003,93,480,7,154,
0500000US36027,"Dutchess County, New York",293524,147681,50.31%,49.69%,48.2,11563,3.94%,8739,15118,4058,54492,21686,40068,35148,188307,75216,63231,36804,44126,21.54%,12.54%,15%,42224,253687,14.39%,85.61%,198495,30126,387,10635,67,1956,
0500000US36029,"Erie County, New York",918873,474133,51.60%,48.40%,44.2,58040,6.32%,24473,39252,13279,173898,77607,127836,99701,596453,227537,198371,116859,141115,21.59%,12.72%,15%,59658,894578,6.49%,93.51%,678236,129874,4667,46090,199,3254,
0500000US36031,"Essex County, New York",37281,17847,47.87%,52.13%,49.4,1659,4.45%,845,976,231,9160,3285,4759,3815,26005,8574,10005,4261,4990,26.84%,11.43%,13%,978,36403,2.62%,97.38%,33714,610,74,229,7,133,
0500000US36033,"Franklin County, New York",50389,22718,45.09%,54.92%,45.8,3945,7.83%,1888,2013,282,13326,4603,3770,3596,31195,7366,15214,6616,4052,30.19%,13.13%,8%,1387,46168,2.75%,97.25%,38559,1686,4102,191,0,91,
0500000US36035,"Fulton County, New York",53452,26790,50.12%,49.88%,46.4,3633,6.80%,1554,1523,293,13999,5933,3788,3243,34133,7031,15553,7456,4081,29.10%,13.95%,8%,2134,51190,3.99%,96.01%,47051,966,89,343,0,164,
0500000US36037,"Genesee County, New York",57554,28744,49.94%,50.06%,49.9,2611,4.54%,1656,2206,328,15587,5717,5344,3705,38148,9049,17243,7923,5672,29.96%,13.77%,10%,2752,55636,4.78%,95.22%,50960,1358,361,412,16,173,
0500000US36039,"Greene County, New York",47335,22656,47.86%,52.14%,46.1,2094,4.42%,1710,1212,279,13413,4171,4416,4089,31005,8505,15123,5383,4695,31.95%,11.37%,10%,3109,44822,6.57%,93.43%,39494,2159,100,500,3,238,
0500000US36041,"Hamilton County, New York",4454,2188,49.12%,50.88%,47.4,200,4.49%,123,182,14,982,484,348,344,2772,692,1105,666,362,24.81%,14.95%,8%,100,5007,2.25%,97.75%,4769,30,14,12,1,5,
0500000US36043,"Herkimer County, New York",61738,31182,50.51%,49.49%,49.3,3298,5.34%,1716,2308,609,16076,5937,5291,3947,39642,9238,17792,8245,5900,28.82%,13.35%,10%,1530,58609,2.48%,97.52%,54653,682,76,359,32,153,
0500000US36045,"Jefferson County, New York",111454,53059,47.61%,52.39%,52.3,7903,7.09%,6641,5216,938,24464,8779,9455,6477,64484,15932,31105,13995,10393,27.91%,12.56%,9%,7990,108731,7.17%,92.83%,92755,6271,461,2185,300,501,
0500000US36047,"Kings County, New York",2576771,1355733,52.61%,47.39%,41.2,210311,8.16%,56216,83813,41188,449299,109644,414484,277022,1481319,691506,505515,193457,455672,19.62%,7.51%,18%,516426,2219648,20.04%,79.96%,968427,729696,3964,370776,718,32897,
0500000US36049,"Lewis County, New York",26456,13213,49.94%,50.06%,55.3,1147,4.34%,779,759,203,8174,2410,1925,1445,16777,3370,8953,3169,2128,33.84%,11.98%,8%,460,26122,1.74%,98.26%,24942,103,40,65,11,52,
0500000US36051,"Livingston County, New York",63218,31431,49.72%,50.28%,47.5,3884,6.14%,2557,5748,701,13769,5427,6297,5421,39051,11718,16326,11175,6998,25.82%,17.68%,11%,2721,59113,4.30%,95.70%,54611,1071,125,653,6,203,
0500000US36053,"Madison County, New York",70990,35981,50.69%,49.32%,46.9,2492,3.51%,3047,5188,650,16676,7076,7122,5679,44516,12801,19723,12264,7772,27.78%,17.28%,11%,1673,66343,2.36%,97.64%,60965,1071,435,664,11,187,
0500000US36055,"Monroe County, New York",743084,384667,51.77%,48.23%,44.2,46358,6.24%,20235,34818,11755,118724,59950,110833,91057,467677,201890,138959,94768,122588,18.70%,12.75%,16%,72745,686698,9.79%,90.21%,506153,112710,1320,32294,181,2958,
0500000US36057,"Montgomery County, New York",49294,25053,50.82%,49.18%,45.2,4064,8.24%,1207,1293,389,11998,4428,3639,2740,30031,6379,13205,5721,4028,26.79%,11.61%,8%,7312,42220,14.83%,85.17%,38237,987,83,479,9,210,
0500000US36059,"Nassau County, New York",1355683,695183,51.28%,48.72%,54,34876,2.57%,28704,52407,28471,208048,75783,242062,199687,865245,441749,236752,128190,270533,17.46%,9.46%,20%,256425,1139349,18.91%,81.09%,779454,147216,1714,163165,292,11780,
0500000US36061,"New York County, New York",1629153,857536,52.64%,47.36%,35.3,116693,7.16%,27293,57718,49428,152846,46744,396161,381322,1098289,777483,180139,104462,445589,11.06%,6.41%,27%,402640,1291611,24.71%,75.29%,793294,199592,1895,219624,882,13335,
0500000US36063,"Niagara County, New York",210145,107758,51.28%,48.72%,48.1,12154,5.78%,5901,6984,2545,48828,21622,22251,16401,138193,38652,54729,28606,24796,26.04%,13.61%,12%,7818,204848,3.72%,96.28%,173691,16206,2294,2439,45,737,
0500000US36065,"Oneida County, New York",229074,114855,50.14%,49.86%,46.7,14812,6.47%,6206,10320,2645,48928,20083,24039,18250,141329,42289,55134,30403,26684,24.07%,13.27%,12%,15191,216934,6.63%,93.37%,180984,14989,508,10522,72,729,
0500000US36067,"Onondaga County, New York",461591,238922,51.76%,48.24%,45.1,30261,6.56%,11028,24649,7477,80358,38766,63623,50687,288576,114310,91386,63415,71100,19.80%,13.74%,15%,26572,449944,5.76%,94.24%,347290,54410,2940,20119,106,1955,
0500000US36069,"Ontario County, New York",109774,55977,50.99%,49.01%,49.2,4179,3.81%,3562,4341,1281,20342,10772,15260,12595,72483,27855,23904,15113,16541,21.78%,13.77%,15%,6113,106345,5.57%,94.43%,97397,2439,197,1374,23,418,
0500000US36071,"Orange County, New York",382077,190721,49.92%,50.08%,50.2,18622,4.87%,12701,17174,5102,69904,26139,43331,31966,219792,75297,82605,43313,48433,21.62%,11.34%,13%,89744,311566,23.49%,76.51%,231848,41341,754,11665,104,12012,
0500000US36073,"Orleans County, New York",40624,20424,50.28%,49.72%,50.4,2507,6.17%,1204,1264,98,12004,3315,3145,1687,25969,4832,13208,4579,3243,32.51%,11.27%,8%,2087,38256,5.14%,94.86%,34037,1840,177,154,12,141,
0500000US36075,"Oswego County, New York",117630,58718,49.92%,50.08%,46.1,9612,8.17%,3431,7030,1196,30021,10441,8996,7086,71362,16082,33452,17471,10192,28.44%,14.85%,9%,3616,113909,3.07%,96.93%,105710,1370,457,870,19,302,
0500000US36077,"Otsego County, New York",59593,30774,51.64%,48.36%,46.2,3367,5.65%,3522,4918,644,12289,4814,7231,6132,37099,13363,15811,9732,7875,26.53%,16.33%,13%,2392,56132,4.01%,95.99%,51490,1189,109,813,7,180,
0500000US36079,"Putnam County, New York",98714,49512,50.16%,49.84%,57.1,2864,2.90%,2147,3293,1902,18672,6350,16351,12602,65838,28953,20819,9643,18253,21.09%,9.77%,18%,17760,79908,17.99%,82.01%,71942,2425,80,2146,12,561,
0500000US36081,"Queens County, New York",2270976,1168791,51.47%,48.53%,46.8,108393,4.77%,43365,81743,29787,440783,127459,340259,208784,1354905,549043,484148,209202,370046,21.32%,9.21%,16%,667861,1737603,29.41%,70.59%,549358,381375,9576,656583,1110,55489,
0500000US36083,"Rensselaer County, New York",159013,80526,50.64%,49.36%,44.6,7247,4.56%,5385,6702,2531,30747,15323,22396,15573,103570,37969,36132,22025,24927,22.72%,13.85%,16%,9482,151648,5.96%,94.04%,124600,11800,310,5711,17,706,
0500000US36085,"Richmond County, New York",475596,244961,51.51%,48.49%,51.4,25847,5.43%,10703,16348,8090,98711,24252,69718,45528,293812,115246,109414,40600,77808,23.01%,8.54%,16%,96960,398787,20.39%,79.61%,277981,46835,624,58753,135,3141,
0500000US36087,"Rockland County, New York",325213,165621,50.93%,49.07%,53.4,21334,6.56%,8417,12021,4919,44649,15727,46584,38666,180205,85250,53066,27748,51503,16.32%,8.53%,16%,66451,271878,20.43%,79.57%,206113,33775,390,20413,42,3445,
0500000US36089,"St. Lawrence County, New York",108352,53158,49.06%,50.94%,45.3,8344,7.70%,3909,9185,562,25840,8548,8345,8545,63502,16890,29749,17733,8907,27.46%,16.37%,8%,2832,105673,2.61%,97.39%,96556,2788,1143,1089,19,298,
0500000US36091,"Saratoga County, New York",229313,116036,50.60%,49.40%,54.4,5760,2.51%,4573,8422,3977,40019,19102,38268,30972,154491,69240,44592,27524,42245,19.45%,12.00%,18%,8667,226842,3.78%,96.22%,203781,3752,301,7444,60,833,
0500000US36093,"Schenectady County, New York",155086,79642,51.35%,48.65%,41.7,7218,4.65%,4532,6060,1732,30589,14119,19377,15124,97779,34501,35121,20179,21109,22.65%,13.01%,14%,12505,145556,8.06%,91.94%,104878,15943,930,8281,130,4469,
0500000US36095,"Schoharie County, New York",31189,15729,50.43%,49.57%,48.1,1572,5.04%,900,1749,321,8110,2696,2998,2281,20296,5279,9010,4445,3319,28.89%,14.25%,11%,1075,28639,3.45%,96.55%,26658,277,68,210,3,123,
0500000US36097,"Schuyler County, New York",17845,8886,49.80%,50.21%,50.4,943,5.28%,596,445,66,4579,1497,1684,1378,12037,3062,5175,1942,1750,29.00%,10.88%,10%,329,17569,1.84%,98.16%,16618,91,38,108,1,43,
0500000US36099,"Seneca County, New York",34295,16364,47.72%,52.29%,47.6,1663,4.85%,720,1011,338,8473,3205,2960,2307,20958,5267,9193,4216,3298,26.81%,12.29%,10%,1367,32447,3.99%,96.01%,29273,1263,151,268,3,80,
0500000US36101,"Steuben County, New York",95843,48035,50.12%,49.88%,51.5,5289,5.52%,2886,2254,817,24086,9856,8500,8233,61963,16733,26972,12110,9317,28.14%,12.64%,10%,1718,91866,1.79%,98.21%,84338,1416,203,1616,12,301,
0500000US36103,"Suffolk County, New York",1481364,752522,50.80%,49.20%,51.2,47288,3.19%,37410,59923,24660,272457,100078,210675,175241,934154,385916,309867,160001,235335,20.92%,10.80%,16%,332959,1192961,22.48%,77.52%,967330,107268,3102,65019,241,9479,
0500000US36105,"Sullivan County, New York",75329,36734,48.77%,51.24%,45.7,3810,5.06%,1901,2670,493,17230,5563,7808,6350,46363,14158,19131,8233,8301,25.40%,10.93%,11%,14007,64617,18.59%,81.41%,52691,6069,174,1569,10,602,
0500000US36107,"Tioga County, New York",48431,24387,50.35%,49.65%,56.8,1988,4.10%,1211,1406,463,12466,4427,5476,3583,31873,9059,13677,5833,5939,28.24%,12.04%,12%,1117,47338,2.31%,97.69%,44195,434,62,370,12,158,
0500000US36109,"Tompkins County, New York",102237,51704,50.57%,49.43%,39.2,10361,10.13%,3495,17940,5308,11102,5706,14069,17779,56693,31848,14597,23646,19377,14.28%,23.13%,19%,7077,98663,6.92%,93.08%,76737,4274,248,10487,35,622,
0500000US36111,"Ulster County, New York",178371,89871,50.38%,49.62%,45.4,12012,6.73%,4398,8522,1984,37604,13948,23177,20090,118973,43267,42002,22470,25161,23.55%,12.60%,14%,21119,160732,11.84%,88.16%,136695,10152,306,3778,45,1218,
0500000US36113,"Warren County, New York",64187,32588,50.77%,49.23%,50.8,2216,3.45%,1107,2125,662,14178,5499,8262,7234,44244,15496,15285,7624,8924,23.81%,11.88%,14%,1752,63985,2.73%,97.27%,59299,736,139,729,0,189,
0500000US36115,"Washington County, New York",61304,29647,48.36%,51.64%,44.9,2382,3.89%,1959,1392,633,17699,4859,5182,3849,39433,9031,19658,6251,5815,32.07%,10.20%,9%,1761,59541,2.87%,97.13%,54605,1563,149,319,22,143,
0500000US36117,"Wayne County, New York",90103,45449,50.44%,49.56%,53.3,4248,4.71%,2981,2551,512,20971,8841,8810,6356,57468,15166,23952,11392,9322,26.58%,12.64%,10%,4514,86769,5.01%,94.99%,79230,2397,171,473,13,272,
0500000US36119,"Westchester County, New York",968738,499651,51.58%,48.42%,50.3,38520,3.98%,21955,34981,18718,127493,43847,164540,168990,594341,333530,149448,78828,183258,15.43%,8.14%,19%,269334,735123,27.80%,72.20%,497684,131010,1017,64907,150,8651,
0500000US36121,"Wyoming County, New York",40027,18572,46.40%,53.60%,51.7,1449,3.62%,968,1389,310,11795,4121,3269,2023,26598,5292,12763,5510,3579,31.89%,13.77%,9%,1490,39041,3.72%,96.28%,35579,1852,83,217,6,77,
0500000US36123,"Yates County, New York",24981,13052,52.25%,47.75%,50.8,1377,5.51%,692,1030,226,5786,1776,2356,1716,14389,4072,6478,2806,2582,25.93%,11.23%,10%,674,24100,2.70%,97.30%,23049,145,28,93,8,77,
0500000US37001,"Alamance County, North Carolina",166144,87290,52.54%,47.46%,47,11035,6.64%,4183,9888,1082,31196,12234,19504,8797,97721,28301,35379,22122,20586,21.29%,13.31%,12%,24703,146712,14.87%,85.13%,102487,33555,584,2811,86,762,
0500000US37003,"Alexander County, North Carolina",37271,18222,48.89%,51.11%,53.2,1854,4.97%,1090,1076,234,10740,2962,2683,1143,22429,3826,11830,4038,2917,31.74%,10.83%,8%,1836,34608,4.93%,95.07%,30893,1919,111,390,1,83,
0500000US37005,"Alleghany County, North Carolina",11085,5708,51.49%,48.51%,58.8,759,6.85%,149,350,119,2367,715,1069,699,6706,1768,2516,1065,1188,22.70%,9.61%,11%,1288,9600,11.62%,88.38%,9186,103,35,15,6,4,
0500000US37007,"Anson County, North Carolina",24430,12036,49.27%,50.73%,39.1,1545,6.32%,933,714,137,6979,1591,1391,561,14295,1952,7912,2305,1528,32.39%,9.44%,6%,665,21390,2.72%,97.28%,10593,9838,89,221,4,38,
0500000US37009,"Ashe County, North Carolina",27009,13721,50.80%,49.20%,58.2,1706,6.32%,824,486,161,6424,2440,2785,1339,17770,4124,7248,2926,2946,26.84%,10.83%,11%,1519,25058,5.62%,94.38%,24028,125,48,102,12,43,
0500000US37011,"Avery County, North Carolina",17510,7875,44.97%,55.03%,49.7,767,4.38%,591,809,67,4157,1066,1963,1208,11493,3171,4748,1875,2030,27.12%,10.71%,12%,987,16819,5.64%,94.36%,15549,649,58,56,1,44,
0500000US37013,"Beaufort County, North Carolina",47160,24730,52.44%,47.56%,52.1,2686,5.70%,1455,1260,160,10989,3821,4301,2812,30344,7113,12444,5081,4461,26.39%,10.77%,9%,3433,41219,7.28%,92.72%,29431,10195,90,164,16,122,
0500000US37015,"Bertie County, North Carolina",19081,9509,49.84%,50.17%,39.7,1716,8.99%,686,516,20,5243,990,1256,818,11266,2074,5929,1506,1276,31.07%,7.89%,7%,330,17604,1.73%,98.27%,6298,10674,57,63,0,49,
0500000US37017,"Bladen County, North Carolina",33209,17227,51.87%,48.13%,43.8,3556,10.71%,884,1023,56,7386,2392,3070,1274,19891,4344,8270,3415,3126,24.90%,10.28%,9%,2546,27060,7.67%,92.33%,15830,9505,701,47,8,67,
0500000US37019,"Brunswick County, North Carolina",137303,71401,52.00%,48.00%,60.8,7632,5.56%,2971,2904,351,31683,12624,20654,11479,100301,32133,34654,15528,21005,25.24%,11.31%,15%,7420,129273,5.40%,94.60%,110716,11392,743,890,75,366,
0500000US37021,"Buncombe County, North Carolina",259576,135181,52.08%,47.92%,47.1,9774,3.77%,7528,8069,1927,44368,17467,48024,31298,175720,79322,51896,25536,49951,19.99%,9.84%,19%,21922,247530,8.45%,91.55%,214862,15017,727,3274,467,1382,
0500000US37023,"Burke County, North Carolina",90148,45213,50.15%,49.85%,49.6,5601,6.21%,2758,2611,449,20944,8622,7076,3961,54360,11037,23702,11233,7525,26.29%,12.46%,8%,7184,80386,7.97%,92.03%,68664,4762,238,3150,64,240,
0500000US37025,"Cabarrus County, North Carolina",211605,108469,51.26%,48.74%,52.4,8268,3.91%,6311,5983,1870,35721,13579,29881,17242,127349,47123,42032,19562,31751,19.86%,9.24%,15%,27263,198541,12.88%,87.12%,133781,41687,598,11933,122,1108,
0500000US37027,"Caldwell County, North Carolina",82056,41562,50.65%,49.35%,50.6,4380,5.34%,2165,2617,478,19653,6324,6480,2889,48171,9369,21818,8941,6958,26.59%,10.90%,8%,4923,75729,6.00%,94.00%,67868,3843,196,527,15,238,
0500000US37029,"Camden County, North Carolina",10654,5285,49.61%,50.39%,60.9,182,1.71%,225,202,35,2467,1030,1035,489,6693,1524,2692,1232,1070,25.27%,11.56%,10%,340,10015,3.19%,96.81%,8200,1049,40,118,1,53,
0500000US37031,"Carteret County, North Carolina",69301,35373,51.04%,48.96%,55,2827,4.08%,1613,1778,302,13361,6108,8961,6075,48541,15036,14974,7886,9263,21.61%,11.38%,13%,3119,64567,4.50%,95.50%,57538,3208,252,584,63,252,
0500000US37033,"Caswell County, North Carolina",22619,11203,49.53%,50.47%,51.6,1346,5.95%,692,588,235,5569,2025,1719,890,13553,2609,6261,2613,1954,27.68%,11.55%,9%,1002,21734,4.43%,95.57%,14036,6804,65,61,13,57,
0500000US37035,"Catawba County, North Carolina",158507,80994,51.10%,48.90%,50.7,8563,5.40%,4598,5816,1353,33264,13563,17844,7543,95173,25387,37862,19379,19197,23.89%,12.23%,12%,17377,143233,10.96%,89.04%,116120,12628,379,6937,78,539,
0500000US37037,"Chatham County, North Carolina",72853,38162,52.38%,47.62%,57.4,2978,4.09%,1893,1446,477,10623,4668,12694,10822,47967,23516,12516,6114,13171,17.18%,8.39%,18%,10372,65913,14.24%,85.76%,53087,7768,173,1616,24,308,
0500000US37039,"Cherokee County, North Carolina",28413,14500,51.03%,48.97%,57.5,2342,8.24%,880,547,131,7347,2746,2905,1900,19524,4805,8227,3293,3036,28.96%,11.59%,11%,899,27875,3.16%,96.84%,25366,373,417,158,0,66,
0500000US37041,"Chowan County, North Carolina",13995,7364,52.62%,47.38%,52,1294,9.25%,176,177,44,3467,1099,1439,868,8918,2307,3643,1276,1483,26.03%,9.12%,11%,530,13178,3.79%,96.21%,8268,4376,43,39,1,18,
0500000US37043,"Clay County, North Carolina",11150,5992,53.74%,46.26%,59.3,506,4.54%,192,215,0,2410,980,1524,823,7646,2347,2602,1195,1524,23.34%,10.72%,14%,438,10651,3.93%,96.07%,10044,60,44,40,7,23,
0500000US37045,"Cleveland County, North Carolina",97765,50615,51.77%,48.23%,45.8,8995,9.20%,2780,4366,601,23078,7314,8271,4864,57792,13135,25858,11680,8872,26.45%,11.95%,9%,4039,95480,4.13%,95.87%,70163,20034,222,854,23,327,
0500000US37047,"Columbus County, North Carolina",55659,28079,50.45%,49.55%,42.6,5203,9.35%,1949,1553,234,14794,4069,3415,1653,33015,5068,16743,5622,3649,30.08%,10.10%,7%,2613,48010,4.69%,95.31%,30019,14503,1670,156,10,143,
0500000US37049,"Craven County, North Carolina",102290,50877,49.74%,50.26%,52.3,4830,4.72%,5762,5047,611,17478,8274,10473,6426,60219,16899,23240,13321,11084,22.72%,13.02%,11%,7195,93525,7.03%,92.97%,64933,19903,318,3059,150,446,
0500000US37051,"Cumberland County, North Carolina",334562,168460,50.35%,49.65%,44.2,26398,7.89%,16555,20587,2707,54809,22451,34673,18510,190091,53183,71364,43038,37380,21.33%,12.86%,11%,39498,295230,11.81%,88.19%,133201,124173,4647,8943,1357,2206,
0500000US37053,"Currituck County, North Carolina",27210,13695,50.33%,49.67%,59.2,1024,3.76%,768,552,163,6095,1851,3540,1373,17690,4913,6863,2403,3703,25.22%,8.83%,14%,1218,26882,4.48%,95.52%,23505,1377,98,265,22,109,
0500000US37055,"Dare County, North Carolina",36698,18321,49.92%,50.08%,53.2,1670,4.55%,886,744,343,6035,2596,7062,3496,26003,10558,6921,3340,7405,18.86%,9.10%,20%,2554,34361,6.96%,93.04%,31921,678,99,260,10,140,
0500000US37057,"Davidson County, North Carolina",166837,85392,51.18%,48.82%,54.1,9830,5.89%,4579,4676,1366,37647,12679,15627,6599,99790,22226,42226,17355,16993,25.31%,10.40%,10%,13902,155028,8.33%,91.67%,129487,15839,665,2440,43,491,
0500000US37059,"Davie County, North Carolina",42543,21915,51.51%,48.49%,54.2,2105,4.95%,1504,990,172,9805,3057,4906,2491,27343,7397,11309,4047,5078,26.58%,9.51%,12%,3375,39337,7.93%,92.07%,34809,2413,96,277,5,124,
0500000US37061,"Duplin County, North Carolina",58965,30219,51.25%,48.75%,47.8,4676,7.93%,1148,2386,218,12628,3692,4087,1751,31536,5838,13776,6078,4305,23.36%,10.31%,7%,10813,37902,18.34%,81.66%,24945,11437,154,155,4,120,
0500000US37063,"Durham County, North Carolina",317665,165858,52.21%,47.79%,42.4,20331,6.40%,7163,14344,6847,38845,15533,56443,52010,196496,108453,46008,29877,63290,14.48%,9.41%,20%,50104,274729,15.77%,84.23%,133768,109225,704,16707,83,1809,
0500000US37065,"Edgecombe County, North Carolina",52069,27901,53.59%,46.42%,41.8,5999,11.52%,1804,1183,196,13748,3180,4214,1665,30121,5879,15552,4363,4410,29.87%,8.38%,8%,2706,46194,5.20%,94.80%,17340,27299,128,112,9,138,
0500000US37067,"Forsyth County, North Carolina",378499,198966,52.57%,47.43%,46,27212,7.19%,11971,15795,4293,63898,22004,53484,32857,226593,86341,75869,37799,57777,20.04%,9.99%,15%,54688,327902,14.45%,85.55%,208126,93738,978,9179,233,1623,
0500000US37069,"Franklin County, North Carolina",68027,34261,50.36%,49.64%,52.4,3693,5.43%,1642,2610,358,14137,5148,7271,2775,41096,10046,15779,7758,7629,23.20%,11.40%,11%,6962,61611,10.23%,89.77%,42285,15785,259,452,17,277,
0500000US37071,"Gaston County, North Carolina",222119,114988,51.77%,48.23%,48.1,12996,5.85%,6843,6979,1253,46846,16519,23333,10648,131858,33981,53689,23498,24586,24.17%,10.58%,11%,20068,207875,9.03%,90.97%,153653,39762,753,3509,59,844,
0500000US37073,"Gates County, North Carolina",11519,5948,51.64%,48.36%,50.5,512,4.44%,358,278,64,3287,1072,640,405,7460,1045,3645,1350,704,31.64%,11.72%,6%,201,10277,1.74%,98.26%,6705,3022,64,21,10,29,
0500000US37075,"Graham County, North Carolina",8501,4498,52.91%,47.09%,56.3,600,7.06%,194,331,0,2114,606,549,270,5054,819,2308,937,549,27.15%,11.02%,6%,219,7811,2.58%,97.42%,6885,46,570,20,4,4,
0500000US37077,"Granville County, North Carolina",59823,29358,49.08%,50.93%,49.3,3359,5.61%,1602,1757,293,13086,4288,6801,3302,36532,10103,14688,6045,7094,24.55%,10.10%,12%,6211,54781,10.38%,89.62%,33610,18315,205,366,24,207,
0500000US37079,"Greene County, North Carolina",20987,9458,45.07%,54.93%,40.1,1379,6.57%,751,534,33,4797,1884,1152,409,11479,1561,5548,2418,1185,26.44%,11.52%,6%,2936,17515,13.99%,86.01%,9644,7206,95,37,0,78,
0500000US37081,"Guilford County, North Carolina",532956,280499,52.63%,47.37%,43.2,32886,6.17%,14355,32149,5684,83781,31947,83397,46969,319109,130366,98136,64096,89081,18.41%,12.03%,17%,52152,489147,9.79%,90.21%,255640,179423,1918,28719,216,2850,
0500000US37083,"Halifax County, North Carolina",50678,26233,51.76%,48.24%,42.5,5379,10.61%,1938,1152,110,13484,2932,3567,1724,28530,5291,15422,4084,3677,30.43%,8.06%,7%,1454,47168,2.87%,97.13%,19070,24737,1593,281,11,142,
0500000US37085,"Harnett County, North Carolina",134328,67757,50.44%,49.56%,49.3,10129,7.54%,3666,5568,928,25305,10429,13043,6299,77145,19342,28971,15997,13971,21.57%,11.91%,10%,18899,114669,14.07%,85.93%,77876,26769,978,1408,242,707,
0500000US37087,"Haywood County, North Carolina",61862,31753,51.33%,48.67%,53.9,3366,5.44%,1498,1601,515,12253,5572,7923,5047,41247,12970,13751,7173,8438,22.23%,11.60%,14%,2829,59260,4.57%,95.43%,55685,656,308,360,1,156,
0500000US37089,"Henderson County, North Carolina",116298,60551,52.07%,47.94%,57.6,5038,4.33%,2873,3040,548,22361,9459,17369,9983,79320,27352,25234,12499,17917,21.70%,10.75%,15%,14999,101282,12.90%,87.10%,91747,3299,284,1296,241,400,
0500000US37091,"Hertford County, North Carolina",23752,11998,50.51%,49.49%,36.7,1499,6.31%,918,1258,154,5706,1647,1519,1135,13939,2654,6624,2905,1673,27.89%,12.23%,7%,1579,19973,6.65%,93.35%,6721,12215,188,113,3,99,
0500000US37093,"Hoke County, North Carolina",54590,27611,50.58%,49.42%,46.9,4693,8.60%,1731,1754,149,10394,4920,4432,2040,30843,6472,12125,6674,4581,22.21%,12.23%,8%,7687,44395,14.08%,85.92%,19667,16385,3803,716,189,336,
0500000US37095,"Hyde County, North Carolina",5089,2383,46.83%,53.17%,50.3,629,12.36%,60,90,0,1421,392,303,99,3014,402,1481,482,303,29.10%,9.47%,6%,347,4242,6.82%,93.18%,2928,1152,7,7,2,15,
0500000US37097,"Iredell County, North Carolina",178853,90674,50.70%,49.30%,54.3,7787,4.35%,5536,5699,1175,34043,13051,25574,11124,111584,36698,39579,18750,26749,22.13%,10.48%,15%,15777,170916,8.82%,91.18%,136393,21255,437,4718,58,656,
0500000US37099,"Jackson County, North Carolina",43435,22340,51.43%,48.57%,41.4,3378,7.78%,1129,6005,662,7874,3234,4402,3566,24664,7968,9003,9239,5064,20.73%,21.27%,12%,3292,39817,7.58%,92.42%,32800,736,3849,497,10,105,
0500000US37101,"Johnston County, North Carolina",203308,103486,50.90%,49.10%,52.7,9561,4.70%,5590,7345,612,37622,18188,23073,9411,119613,32484,43212,25533,23685,21.25%,12.56%,12%,34400,181599,16.92%,83.08%,136464,33041,880,1831,71,913,
0500000US37103,"Jones County, North Carolina",9453,4782,50.59%,49.41%,49.1,627,6.63%,165,228,51,2557,602,775,242,5890,1017,2722,830,826,28.80%,8.78%,9%,394,8778,4.17%,95.83%,5787,2564,42,32,0,35,
0500000US37105,"Lee County, North Carolina",61083,31572,51.69%,48.31%,47.2,4270,6.99%,1464,2348,323,11437,5182,5934,2549,35235,8483,12901,7530,6257,21.12%,12.33%,10%,13122,50163,21.48%,78.52%,36055,10701,231,643,43,227,
0500000US37107,"Lenoir County, North Carolina",56350,29170,51.77%,48.23%,43.6,4459,7.91%,1596,1482,349,12581,4794,4314,1783,31873,6097,14177,6276,4663,25.16%,11.14%,8%,4365,50757,7.75%,92.25%,26582,22034,134,332,22,135,
